interest,registration,vote_2016,vote_intention,vote_2020,ideo5,employment,foreign_born,gender,census_region,hispanic,race_ethnicity,household_income,education,state,congress_district,age_group,vote_trump,vote_biden
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,employed,The United States,Female,South,Not Hispanic,white,"$30,000 to $34,999",Associate Degree,LA,LA02,48 to 57,0,1
Hardly at all,Not registered,Was not eligible to vote,"No, I am not eligible to vote",Donald Trump,Liberal,not in labor force,The United States,Male,Midwest,Not Hispanic,white,"$15,000 to $19,999",High school graduate,MO,MO04,68 to 77,1,0
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,employed,The United States,Male,Midwest,Not Hispanic,white,"$100,000 to $124,999",Masters degree,OH,OH12,38 to 47,1,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Liberal,employed,The United States,Male,South,Not Hispanic,white,"$150,000 to $174,999",Masters degree,TX,TX28,28 to 37,1,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Liberal,employed,The United States,Male,South,Not Hispanic,white,"$100,000 to $124,999",Masters degree,LA,LA05,38 to 47,1,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,employed,The United States,Male,West,Not Hispanic,white,NA,Doctorate degree,CA,CA48,48 to 57,0,1
Some of the time,Registered,Jill Stein,"Yes, I will vote",Joe Biden,Moderate,unemployed,The United States,Female,West,Not Hispanic,white,"$20,000 to $24,999",Completed some high school,MT,MT00,28 to 37,0,1
Hardly at all,Not registered,"Did not vote, but was eligible","Yes, I will vote",I am not sure/don't know,Very Liberal,employed,The United States,Male,Midwest,Other Hispanic,black/african american/negro,"$30,000 to $34,999","College Degree (such as B.A., B.S.)",IN,IN08,18 to 27,0,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,employed,Another country,Female,South,Not Hispanic,other asian or pacific islander,"$175,000 to $199,999","Completed some graduate, but no degree",FL,FL26,38 to 47,0,1
Hardly at all,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,NA,The United States,Female,South,Mexican,white,"Less than $14,999",Other post high school vocational training,NC,NC07,28 to 37,1,0
Most of the time,Not registered,Was not eligible to vote,"Yes, I will vote",Donald Trump,Liberal,employed,The United States,Male,South,Not Hispanic,white,"$40,000 to $44,999",High school graduate,VA,VA06,28 to 37,1,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,not in labor force,The United States,Male,Northeast,Not Hispanic,black/african american/negro,"$30,000 to $34,999",Other post high school vocational training,NJ,NJ06,68 to 77,0,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Donald Trump,Very Conservative,not in labor force,The United States,Male,West,Not Hispanic,white,NA,Other post high school vocational training,CA,CA31,28 to 37,1,0
Most of the time,Registered,Was not eligible to vote,"Yes, I will vote",Joe Biden,Liberal,employed,The United States,Male,Northeast,Not Hispanic,white,"$70,000 to $74,999","Completed some college, but no degree",PA,PA08,28 to 37,0,1
Most of the time,Registered,Gary Johnson,"Yes, I will vote",Donald Trump,Conservative,employed,The United States,Male,West,Not Hispanic,white,"$100,000 to $124,999","College Degree (such as B.A., B.S.)",ID,ID01,28 to 37,1,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,not in labor force,The United States,Female,West,Not Hispanic,white,"$200,000 to $249,999","College Degree (such as B.A., B.S.)",WA,WA02,58 to 67,0,1
Hardly at all,Not registered,Was not eligible to vote,"No, I am not eligible to vote",Joe Biden,Moderate,not in labor force,Another country,Male,Northeast,Not Hispanic,other asian or pacific islander,"$45,000 to $49,999",High school graduate,NJ,NJ11,18 to 27,0,1
Most of the time,Registered,"Did not vote, but was eligible","Yes, I will vote",Joe Biden,Moderate,not in labor force,The United States,Female,South,Not Hispanic,black/african american/negro,"$15,000 to $19,999",High school graduate,MD,,48 to 57,0,1
Only now and then,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,not in labor force,The United States,Female,South,Not Hispanic,white,"$20,000 to $24,999",Completed some high school,TX,TX25,18 to 27,1,0
Only now and then,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,employed,The United States,Male,South,Not Hispanic,white,"$50,000 to $54,999","College Degree (such as B.A., B.S.)",TX,TX04,48 to 57,0,1
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,unemployed,The United States,Female,Northeast,Not Hispanic,white,"$50,000 to $54,999","Completed some college, but no degree",RI,RI02,18 to 27,0,1
Most of the time,Registered,Someone else:,"Yes, I will vote",Joe Biden,Moderate,not in labor force,The United States,Male,Midwest,Not Hispanic,white,"$15,000 to $19,999","Completed some college, but no degree",MO,MO04,48 to 57,0,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,employed,The United States,Male,West,Not Hispanic,chinese,"$65,000 to $69,999","College Degree (such as B.A., B.S.)",CA,CA14,58 to 67,1,0
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,not in labor force,The United States,Male,Midwest,Not Hispanic,white,"$35,000 to $39,999",High school graduate,MI,MI06,58 to 67,0,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Liberal,employed,The United States,Male,Northeast,Not Hispanic,white,"$250,000 and above",Masters degree,MA,MA02,28 to 37,1,0
Only now and then,Don't know,Don't recall,Not sure,I would not vote,Not Sure,employed,The United States,Female,South,Not Hispanic,black/african american/negro,"$175,000 to $199,999","College Degree (such as B.A., B.S.)",LA,LA04,18 to 27,0,0
Most of the time,Not registered,Hillary Clinton,"No, I will not vote but I am eligible",Joe Biden,Moderate,unemployed,Another country,Male,Northeast,Colombian,"other race, nec","$125,000 to $149,999",Masters degree,NY,NY06,48 to 57,0,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,employed,The United States,Female,West,Not Hispanic,white,"$175,000 to $199,999","Completed some college, but no degree",OR,OR05,58 to 67,0,1
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,NA,The United States,Male,Midwest,Not Hispanic,black/african american/negro,"Less than $14,999",High school graduate,MI,MI06,38 to 47,0,1
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,not in labor force,The United States,Female,West,Not Hispanic,white,"$100,000 to $124,999","Completed some college, but no degree",AZ,AZ02,68 to 77,1,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,not in labor force,The United States,Female,South,Not Hispanic,white,"$15,000 to $19,999",High school graduate,AL,AL01,78 to 87,1,0
Some of the time,Not registered,Someone else:,"Yes, I will vote",I am not sure/don't know,Not Sure,employed,The United States,Female,West,Other Hispanic,white,"$30,000 to $34,999","College Degree (such as B.A., B.S.)",NV,NV03,18 to 27,0,0
Only now and then,Not registered,Don't recall,Not sure,I would not vote,Moderate,not in labor force,Another country,Female,West,Mexican,chinese,"$25,000 to $29,999",High school graduate,CA,,28 to 37,0,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Someone else,Very Liberal,employed,The United States,Female,South,Mexican,"other race, nec","Less than $14,999",High school graduate,MD,MD04,18 to 27,0,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,employed,The United States,Male,Midwest,Not Hispanic,black/african american/negro,"$75,000 to $79,999","Completed some graduate, but no degree",OH,OH03,28 to 37,0,1
Some of the time,Registered,Was not eligible to vote,"Yes, I will vote",Joe Biden,Moderate,not in labor force,The United States,Female,West,Not Hispanic,white,"$100,000 to $124,999",High school graduate,CA,CA26,18 to 27,0,1
Only now and then,Not registered,"Did not vote, but was eligible","No, I will not vote but I am eligible",I would not vote,Very Conservative,unemployed,The United States,Female,South,Not Hispanic,white,"Less than $14,999",Completed some high school,TN,TN08,18 to 27,0,0
Hardly at all,Not registered,"Did not vote, but was eligible","No, I will not vote but I am eligible",I am not sure/don't know,Not Sure,unemployed,The United States,Female,South,Not Hispanic,white,"Less than $14,999",Completed some high school,TN,TN05,18 to 27,0,0
Some of the time,Registered,Donald Trump,"Yes, I will vote",Joe Biden,Moderate,unemployed,The United States,Female,West,Not Hispanic,other asian or pacific islander,"Less than $14,999",High school graduate,HI,HI01,28 to 37,0,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,employed,The United States,Male,South,Not Hispanic,white,"$250,000 and above",Masters degree,VA,VA10,38 to 47,1,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,not in labor force,The United States,Female,West,Not Hispanic,black/african american/negro,"$25,000 to $29,999","College Degree (such as B.A., B.S.)",CA,,68 to 77,0,1
Some of the time,Registered,Was not eligible to vote,"Yes, I will vote",I am not sure/don't know,Liberal,not in labor force,The United States,Male,South,Mexican,black/african american/negro,"Less than $14,999",High school graduate,VA,,18 to 27,0,0
Some of the time,Registered,Don't recall,Not sure,I am not sure/don't know,Not Sure,employed,The United States,Female,West,Mexican,"other race, nec","Less than $14,999",High school graduate,CA,CA42,28 to 37,0,0
Most of the time,Registered,"Did not vote, but was eligible","Yes, I will vote",Joe Biden,Moderate,not in labor force,The United States,Female,South,Not Hispanic,black/african american/negro,"$25,000 to $29,999","College Degree (such as B.A., B.S.)",TX,TX17,58 to 67,0,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,not in labor force,The United States,Male,South,Not Hispanic,white,"Less than $14,999","College Degree (such as B.A., B.S.)",AL,AL03,48 to 57,1,0
Some of the time,Not registered,"Did not vote, but was eligible","No, I will not vote but I am eligible",Donald Trump,Moderate,employed,The United States,Male,Midwest,Not Hispanic,white,"$30,000 to $34,999",High school graduate,IN,IN08,38 to 47,1,0
Some of the time,Not registered,Was not eligible to vote,"No, I am not eligible to vote",I am not sure/don't know,Not Sure,not in labor force,Another country,Female,Northeast,Not Hispanic,other asian or pacific islander,"$50,000 to $54,999",Completed some high school,PA,PA13,38 to 47,0,0
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Liberal,unemployed,The United States,Male,Midwest,Not Hispanic,white,"$35,000 to $39,999",Associate Degree,OH,OH16,38 to 47,1,0
Only now and then,Not registered,Was not eligible to vote,"No, I am not eligible to vote",I would not vote,Moderate,not in labor force,The United States,Male,Northeast,Not Hispanic,white,NA,"Completed some college, but no degree",NY,NY09,18 to 27,0,0
Only now and then,Registered,Hillary Clinton,"Yes, I will vote",I am not sure/don't know,Liberal,employed,The United States,Female,South,Not Hispanic,black/african american/negro,NA,"Completed some graduate, but no degree",MD,MD05,28 to 37,0,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,unemployed,The United States,Female,South,Not Hispanic,white,NA,"College Degree (such as B.A., B.S.)",NC,NC01,28 to 37,0,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,employed,The United States,Female,Midwest,Not Hispanic,white,"$125,000 to $149,999","College Degree (such as B.A., B.S.)",IL,IL06,28 to 37,0,1
Hardly at all,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,employed,The United States,Female,South,Not Hispanic,white,"$25,000 to $29,999",Other post high school vocational training,TX,TX13,58 to 67,1,0
Only now and then,Registered,"Did not vote, but was eligible","Yes, I will vote",Someone else,Very Conservative,employed,The United States,Female,Midwest,Not Hispanic,white,"$40,000 to $44,999","Completed some college, but no degree",OH,OH01,18 to 27,0,0
Some of the time,Registered,Don't recall,"Yes, I will vote",Donald Trump,Moderate,not in labor force,The United States,Female,South,Not Hispanic,white,"$20,000 to $24,999","Completed some college, but no degree",SC,SC03,28 to 37,1,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Donald Trump,Moderate,employed,The United States,Male,South,Mexican,white,"$65,000 to $69,999","College Degree (such as B.A., B.S.)",TX,TX08,28 to 37,1,0
Hardly at all,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,employed,The United States,Female,South,Not Hispanic,white,"$125,000 to $149,999","College Degree (such as B.A., B.S.)",GA,GA09,38 to 47,1,0
Hardly at all,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Liberal,employed,The United States,Male,South,Not Hispanic,white,"$250,000 and above",Masters degree,VA,,38 to 47,1,0
Some of the time,Registered,Jill Stein,"Yes, I will vote",Donald Trump,Conservative,not in labor force,The United States,Female,South,Mexican,"other race, nec","$15,000 to $19,999","Completed some college, but no degree",TX,TX30,28 to 37,1,0
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Someone else,Moderate,employed,The United States,Female,South,Mexican,"other race, nec","$60,000 to $64,999","College Degree (such as B.A., B.S.)",TN,TN04,38 to 47,0,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,not in labor force,The United States,Female,South,Not Hispanic,white,"$100,000 to $124,999","College Degree (such as B.A., B.S.)",FL,FL08,68 to 77,1,0
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,employed,The United States,Male,Midwest,Not Hispanic,white,"$30,000 to $34,999","Completed some college, but no degree",MN,MN04,28 to 37,1,0
Most of the time,Registered,"Did not vote, but was eligible","Yes, I will vote",I am not sure/don't know,Moderate,unemployed,The United States,Male,South,Not Hispanic,white,"Less than $14,999","Completed some college, but no degree",VA,VA09,38 to 47,0,0
Only now and then,Registered,Someone else:,"Yes, I will vote",Joe Biden,Liberal,not in labor force,The United States,Female,West,Not Hispanic,white,"$15,000 to $19,999",Completed some high school,WA,WA01,18 to 27,0,1
Hardly at all,Not registered,Was not eligible to vote,"No, I will not vote but I am eligible",I would not vote,Not Sure,not in labor force,The United States,Female,South,Not Hispanic,white,"Less than $14,999","Completed some college, but no degree",WV,WV01,28 to 37,0,0
Only now and then,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,unemployed,The United States,Male,South,Other Hispanic,white,"Less than $14,999",Associate Degree,FL,FL10,28 to 37,0,1
Most of the time,Registered,Was not eligible to vote,"Yes, I will vote",Donald Trump,Moderate,not in labor force,The United States,Male,Midwest,Not Hispanic,white,"$30,000 to $34,999",Associate Degree,KS,KS04,68 to 77,1,0
Most of the time,Registered,"Did not vote, but was eligible","Yes, I will vote",Joe Biden,Liberal,not in labor force,The United States,Male,Midwest,Not Hispanic,white,"$40,000 to $44,999","Completed some graduate, but no degree",IL,IL13,48 to 57,0,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,employed,The United States,Male,Northeast,Ecuadorian,white,"$100,000 to $124,999",Doctorate degree,NY,,38 to 47,1,0
Some of the time,Not registered,Was not eligible to vote,"No, I am not eligible to vote",Donald Trump,Very Conservative,not in labor force,The United States,Male,Northeast,Not Hispanic,white,"$35,000 to $39,999",Completed some high school,NY,NY16,48 to 57,1,0
Only now and then,Registered,Hillary Clinton,"No, I am not eligible to vote",Joe Biden,Moderate,unemployed,The United States,Female,South,Not Hispanic,black/african american/negro,"Less than $14,999",Associate Degree,TN,TN09,28 to 37,0,1
Only now and then,Registered,"Did not vote, but was eligible","Yes, I will vote",Joe Biden,Moderate,unemployed,The United States,Male,South,Not Hispanic,white,"Less than $14,999",High school graduate,NC,NC08,28 to 37,0,1
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,employed,The United States,Male,Midwest,Not Hispanic,white,"$75,000 to $79,999",Associate Degree,MN,MN02,28 to 37,0,1
Some of the time,Registered,"Did not vote, but was eligible","Yes, I will vote",Donald Trump,Conservative,unemployed,The United States,Male,South,Not Hispanic,white,"$35,000 to $39,999",High school graduate,KY,KY01,28 to 37,1,0
Hardly at all,Not registered,"Did not vote, but was eligible","No, I will not vote but I am eligible",I would not vote,Moderate,employed,The United States,Female,West,Mexican,"other race, nec","$30,000 to $34,999",Completed some high school,CO,CO04,28 to 37,0,0
Most of the time,Registered,Hillary Clinton,"No, I will not vote but I am eligible",Joe Biden,Liberal,not in labor force,The United States,Female,West,Not Hispanic,black/african american/negro,"$15,000 to $19,999","Completed some college, but no degree",NV,NV03,48 to 57,0,1
Hardly at all,Not registered,Don't recall,"No, I am not eligible to vote",I am not sure/don't know,Not Sure,not in labor force,The United States,Female,South,Not Hispanic,white,"Less than $14,999",High school graduate,KY,KY05,48 to 57,0,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,employed,The United States,Male,South,Not Hispanic,white,"$45,000 to $49,999",Other post high school vocational training,TX,TX27,28 to 37,1,0
Some of the time,Registered,Was not eligible to vote,"Yes, I will vote",Joe Biden,Moderate,employed,The United States,Female,West,Mexican,white,"Less than $14,999","Completed some college, but no degree",CO,CO07,18 to 27,0,1
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,unemployed,Another country,Female,West,Not Hispanic,other asian or pacific islander,"$20,000 to $24,999","College Degree (such as B.A., B.S.)",OR,OR01,48 to 57,0,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,not in labor force,The United States,Female,Midwest,Not Hispanic,black/african american/negro,"$50,000 to $54,999",Other post high school vocational training,IL,IL07,58 to 67,0,1
Only now and then,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,employed,The United States,Male,South,Mexican,american indian or alaska native,"$45,000 to $49,999",Doctorate degree,MD,,28 to 37,0,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,employed,The United States,Female,West,Mexican,"other race, nec","Less than $14,999","Completed some college, but no degree",CO,CO07,48 to 57,0,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,employed,The United States,Male,South,Not Hispanic,white,"$75,000 to $79,999","Completed some college, but no degree",KY,KY06,48 to 57,1,0
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,employed,The United States,Male,South,Not Hispanic,american indian or alaska native,"$35,000 to $39,999",Completed some high school,MS,MS01,28 to 37,1,0
Most of the time,Registered,"Did not vote, but was eligible","Yes, I will vote",Donald Trump,Moderate,employed,The United States,Male,West,Other Hispanic,american indian or alaska native,"$25,000 to $29,999","Completed some college, but no degree",AZ,AZ07,28 to 37,1,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Joe Biden,Very Liberal,employed,The United States,Male,Northeast,Not Hispanic,white,"$150,000 to $174,999",Masters degree,NY,NY10,38 to 47,0,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,not in labor force,The United States,Female,Midwest,Not Hispanic,white,NA,High school graduate,IL,IL01,58 to 67,1,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,not in labor force,The United States,Female,South,Not Hispanic,white,NA,"College Degree (such as B.A., B.S.)",NC,NC01,58 to 67,0,1
Some of the time,Registered,Someone else:,"Yes, I will vote",Joe Biden,Liberal,employed,The United States,Female,Northeast,Mexican,american indian or alaska native,"$15,000 to $19,999","College Degree (such as B.A., B.S.)",NY,NY10,28 to 37,0,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Conservative,employed,The United States,Female,West,Not Hispanic,black/african american/negro,"Less than $14,999",High school graduate,WA,WA02,48 to 57,0,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Liberal,employed,The United States,Male,West,Not Hispanic,white,"$150,000 to $174,999","Completed some graduate, but no degree",CA,CA44,38 to 47,1,0
Most of the time,Registered,Jill Stein,"Yes, I will vote",Joe Biden,Moderate,not in labor force,The United States,Male,South,Not Hispanic,white,"Less than $14,999","Completed some graduate, but no degree",FL,FL13,38 to 47,0,1
Only now and then,Registered,Was not eligible to vote,"Yes, I will vote",I am not sure/don't know,Moderate,employed,The United States,Male,South,Not Hispanic,white,"Less than $14,999",High school graduate,LA,LA04,48 to 57,0,0
Only now and then,Registered,"Did not vote, but was eligible","No, I will not vote but I am eligible",Joe Biden,Not Sure,not in labor force,The United States,Female,West,Mexican,white,"$15,000 to $19,999",High school graduate,CA,CA44,48 to 57,0,1
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,not in labor force,The United States,Female,West,Not Hispanic,black/african american/negro,"Less than $14,999","Completed some college, but no degree",CA,CA11,58 to 67,0,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,employed,The United States,Female,South,Mexican,"other race, nec","$30,000 to $34,999","College Degree (such as B.A., B.S.)",FL,FL04,28 to 37,0,1
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,employed,The United States,Female,West,Salvadorean,"other race, nec","$100,000 to $124,999",Associate Degree,CA,CA30,18 to 27,0,1
Hardly at all,Not registered,Was not eligible to vote,Not sure,Donald Trump,Not Sure,unemployed,The United States,Female,South,Not Hispanic,white,"Less than $14,999",Completed some high school,LA,,28 to 37,1,0
Hardly at all,Don't know,"Did not vote, but was eligible","No, I will not vote but I am eligible",I would not vote,Not Sure,unemployed,The United States,Female,South,Mexican,white,"Less than $14,999",High school graduate,TX,TX20,18 to 27,0,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,employed,The United States,Male,Midwest,Not Hispanic,white,"$75,000 to $79,999","College Degree (such as B.A., B.S.)",IL,IL06,28 to 37,0,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,NA,employed,The United States,Female,South,Not Hispanic,black/african american/negro,"$250,000 and above","Completed some college, but no degree",TX,TX05,38 to 47,0,1
Some of the time,Registered,Was not eligible to vote,"Yes, I will vote",Joe Biden,Moderate,employed,The United States,Male,South,Not Hispanic,white,"$80,000 to $84,999",Associate Degree,SC,SC01,18 to 27,0,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Joe Biden,Very Liberal,employed,The United States,Male,Northeast,Not Hispanic,white,"$85,000 to $89,999",Masters degree,NY,NY10,28 to 37,0,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Conservative,unemployed,The United States,Male,Northeast,Mexican,"other race, nec","$40,000 to $44,999",Completed some high school,NY,NY15,28 to 37,0,1
Some of the time,Registered,Hillary Clinton,"No, I will not vote but I am eligible",Joe Biden,Conservative,not in labor force,The United States,Female,Midwest,Not Hispanic,black/african american/negro,"$55,000 to $59,999",Associate Degree,IL,IL02,68 to 77,0,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Liberal,employed,The United States,Male,West,Not Hispanic,white,"$250,000 and above",Masters degree,CA,CA13,38 to 47,1,0
Only now and then,Not registered,Was not eligible to vote,"No, I am not eligible to vote",Donald Trump,Very Conservative,not in labor force,The United States,Female,South,Not Hispanic,white,"$20,000 to $24,999","Completed some college, but no degree",TN,TN03,68 to 77,1,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Liberal,employed,The United States,Male,Northeast,Not Hispanic,white,"$125,000 to $149,999","College Degree (such as B.A., B.S.)",PA,PA15,38 to 47,1,0
Only now and then,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Conservative,employed,The United States,Male,South,Not Hispanic,black/african american/negro,"$25,000 to $29,999",Masters degree,TX,TX32,28 to 37,0,1
Some of the time,Registered,Someone else:,"Yes, I will vote",I am not sure/don't know,Moderate,not in labor force,The United States,Female,West,Mexican,"other race, nec","Less than $14,999",Associate Degree,HI,HI02,48 to 57,0,0
Most of the time,Not registered,"Did not vote, but was eligible","No, I will not vote but I am eligible",Donald Trump,Moderate,employed,The United States,Male,South,Not Hispanic,white,"Less than $14,999",Completed some high school,FL,FL07,28 to 37,1,0
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,employed,The United States,Female,West,Not Hispanic,japanese,NA,Masters degree,HI,HI01,58 to 67,0,1
Most of the time,Registered,Jill Stein,"Yes, I will vote",Joe Biden,Conservative,unemployed,The United States,Female,West,Colombian,white,"$55,000 to $59,999",Associate Degree,AZ,,48 to 57,0,1
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,not in labor force,The United States,Female,Northeast,Not Hispanic,black/african american/negro,"$15,000 to $19,999",High school graduate,NY,NY10,48 to 57,0,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,employed,The United States,Male,Midwest,Not Hispanic,white,"$50,000 to $54,999","College Degree (such as B.A., B.S.)",IL,IL11,58 to 67,1,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Joe Biden,Moderate,employed,The United States,Male,Midwest,Not Hispanic,black/african american/negro,"$80,000 to $84,999",High school graduate,OH,OH03,38 to 47,0,1
Hardly at all,Registered,"Did not vote, but was eligible",Not sure,I am not sure/don't know,Moderate,employed,The United States,Female,Northeast,Not Hispanic,white,"$50,000 to $54,999",Other post high school vocational training,PA,,28 to 37,0,0
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",I am not sure/don't know,Not Sure,employed,The United States,Female,West,Not Hispanic,black/african american/negro,NA,"Completed some college, but no degree",CA,CA13,28 to 37,0,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,employed,Another country,Male,West,Salvadorean,"other race, nec","$20,000 to $24,999","Completed some college, but no degree",CA,CA40,18 to 27,1,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Liberal,employed,The United States,Male,Northeast,Not Hispanic,white,"$250,000 and above","College Degree (such as B.A., B.S.)",PA,PA04,58 to 67,1,0
Some of the time,Registered,"Did not vote, but was eligible","Yes, I will vote",Donald Trump,Moderate,not in labor force,The United States,Male,Midwest,Mexican,"other race, nec","Less than $14,999",Associate Degree,IN,IN09,38 to 47,1,0
Some of the time,Registered,Don't recall,"Yes, I will vote",Donald Trump,Not Sure,employed,The United States,Female,South,Mexican,"other race, nec","Less than $14,999","Completed some college, but no degree",TX,TX15,28 to 37,1,0
Some of the time,Registered,"Did not vote, but was eligible","Yes, I will vote",I am not sure/don't know,Conservative,unemployed,The United States,Female,South,Mexican,"other race, nec","Less than $14,999",Completed some high school,OK,,18 to 27,0,0
Most of the time,Registered,"Did not vote, but was eligible","Yes, I will vote",Joe Biden,Moderate,unemployed,The United States,Female,Midwest,Not Hispanic,"other race, nec","$25,000 to $29,999","College Degree (such as B.A., B.S.)",OH,OH11,68 to 77,0,1
Hardly at all,Not registered,"Did not vote, but was eligible",Not sure,Joe Biden,Moderate,not in labor force,Another country,Female,West,Not Hispanic,chinese,"$30,000 to $34,999",High school graduate,CA,CA18,68 to 77,0,1
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Liberal,not in labor force,Another country,Male,South,Not Hispanic,other asian or pacific islander,"$150,000 to $174,999","College Degree (such as B.A., B.S.)",FL,FL04,68 to 77,1,0
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Conservative,employed,The United States,Female,Northeast,Not Hispanic,white,"$150,000 to $174,999","Completed some college, but no degree",NY,NY01,48 to 57,0,1
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,not in labor force,The United States,Male,West,Not Hispanic,white,"Less than $14,999","Completed some college, but no degree",OR,OR04,38 to 47,1,0
Some of the time,Don't know,Was not eligible to vote,"Yes, I will vote",Donald Trump,Conservative,employed,The United States,Male,West,Not Hispanic,white,"Less than $14,999",Completed some high school,WA,WA10,18 to 27,1,0
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,employed,The United States,Male,Midwest,Not Hispanic,white,"$50,000 to $54,999","College Degree (such as B.A., B.S.)",WI,WI08,58 to 67,1,0
Some of the time,Registered,"Did not vote, but was eligible","Yes, I will vote",Joe Biden,Liberal,NA,The United States,Male,West,Not Hispanic,white,"$100,000 to $124,999","Completed some college, but no degree",WA,,38 to 47,0,1
